file,label
A00-1001.txt,Speech
A00-1002.txt,Translation
A00-1004.txt,Translation
A00-1005.txt,Speech
A00-1006.txt,Translation
A00-1007.txt,Speech
A00-1009.txt,Translation
A00-1010.txt,Speech
A00-1011.txt,IE
A00-1012.txt,Speech
A00-1013.txt,QA
A00-1015.txt,Speech
A00-1014.txt,Speech
A00-1016.txt,Speech
A00-1018.txt,Translation
A00-1021.txt,QA
A00-1023.txt,IE
A00-1023.txt,QA
A00-1025.txt,QA
A00-1027.txt,Lexical
A00-1028.txt,Grammar
A00-1029.txt,Grammar
A00-1032.txt,Lexical
A00-1034.txt,NE
A00-1035.txt,Grammar
A00-1036.txt,IE
A00-1038.txt,NE
A00-1039.txt,IE
A00-1040.txt,NE
A00-1041.txt,IE
A00-1042.txt,IE
A00-1043.txt,Summarization
A00-1044.txt,Speech
A00-1045.txt,Grammar
A00-2001.txt,Speech
A00-2011.txt,Translation
A00-2013.txt,NE
A00-2014.txt,Grammar
A00-2019.txt,Grammar
A00-2021.txt,Grammar
A00-2022.txt,Grammar
A00-2024.txt,Summarization
A00-2025.txt,Speech
A00-2025.txt,Summarization
A00-2027.txt,Speech
A00-2028.txt,Speech
A00-2029.txt,Speech
A00-2030.txt,Lexical
A00-2033.txt,Grammar
A00-2035.txt,NE
A00-2036.txt,Grammar
A00-2037.txt,Speech
A00-2039.txt,Lexical
A00-3004.txt,Grammar
A00-3007.txt,IE
A83-1005.txt,Speech
A83-1009.txt,IE
A83-1017.txt,Translation
A83-1019.txt,IE
A88-1010.txt,QA
A88-1014.txt,IE
A88-1016.txt,Speech
A88-1018.txt,IE
A88-1020.txt,Lexical
A94-1005.txt,Translation
A94-1006.txt,Translation
A94-1007.txt,Translation
A94-1008.txt,NE
A94-1009.txt,NE
A94-1015.txt,Translation
A94-1016.txt,Translation
A94-1017.txt,Speech
A94-1019.txt,IE
A94-1044.txt,Translation
A94-1047.txt,Lexical
A97-1001.txt,Speech
A97-1003.txt,Speech
A97-2012.txt,Speech
A97-2020.txt,Speech
C00-1002.txt,Lexical
C00-1005.txt,Grammar
C00-1006.txt,Translation
C00-1008.txt,Lexical
C00-1009.txt,Grammar
C00-1011.txt,Grammar
C00-1018.txt,Grammar
C00-1019.txt,Translation
C00-1025.txt,IE
C00-1028.txt,Lexical
C00-1030.txt,IE
C00-1034.txt,Grammar
C00-1039.txt,Lexical
C00-1040.txt,Lexical
C00-1043.txt,QA
C00-1044.txt,IE
C00-1046.txt,NE
C00-1048.txt,IE
C00-1052.txt,Grammar
C00-1055.txt,Translation
C00-1056.txt,Translation
C00-1059.txt,IE
C00-1061.txt,Translation
C00-1062.txt,Grammar
C00-1064.txt,Translation
C00-1066.txt,Summarization
C00-1068.txt,Speech
C00-1070.txt,Lexical
C00-1072.txt,Summarization
C00-1073.txt,Speech
C00-1074.txt,NE
C00-1075.txt,Translation
C00-1078.txt,Translation
C00-1079.txt,Translation
C00-1084.txt,IE
C00-2087.txt,Grammar
C00-2089.txt,NE
