,file,label
0,A00-1001.txt,Speech
1,A00-1002.txt,Translation
2,A00-1004.txt,Translation
3,A00-1005.txt,Speech
4,A00-1006.txt,Translation
5,A00-1007.txt,Speech
6,A00-1009.txt,Translation
7,A00-1010.txt,Speech
8,A00-1011.txt,IE
9,A00-1012.txt,Speech
10,A00-1013.txt,QA
11,A00-1015.txt,Speech
12,A00-1014.txt,Speech
13,A00-1016.txt,Speech
14,A00-1018.txt,Translation
15,A00-1021.txt,QA
16,A00-1023.txt,IE
17,A00-1023.txt,QA
18,A00-1025.txt,QA
19,A00-1027.txt,Lexical
20,A00-1028.txt,Grammar
21,A00-1029.txt,Grammar
22,A00-1032.txt,Lexical
23,A00-1034.txt,NE
24,A00-1035.txt,Grammar
25,A00-1036.txt,IE
26,A00-1038.txt,NE
27,A00-1039.txt,IE
28,A00-1040.txt,NE
29,A00-1041.txt,IE
30,A00-1042.txt,IE
31,A00-1043.txt,Summarization
32,A00-1044.txt,Speech
33,A00-1045.txt,Grammar
34,A00-2001.txt,Speech
35,A00-2011.txt,Translation
36,A00-2013.txt,NE
37,A00-2014.txt,Grammar
38,A00-2019.txt,Grammar
39,A00-2021.txt,Grammar
40,A00-2022.txt,Grammar
41,A00-2024.txt,Summarization
42,A00-2025.txt,Speech
43,A00-2025.txt,Summarization
44,A00-2027.txt,Speech
45,A00-2028.txt,Speech
46,A00-2029.txt,Speech
47,A00-2030.txt,Lexical
48,A00-2033.txt,Grammar
49,A00-2035.txt,NE
50,A00-2036.txt,Grammar
51,A00-2037.txt,Speech
52,A00-2039.txt,Lexical
53,A00-3004.txt,Grammar
54,A00-3007.txt,IE
55,A83-1005.txt,Speech
56,A83-1009.txt,IE
57,A83-1017.txt,Translation
58,A83-1019.txt,IE
59,A88-1010.txt,QA
60,A88-1014.txt,IE
61,A88-1016.txt,Speech
62,A88-1018.txt,IE
63,A88-1020.txt,Lexical
64,A94-1005.txt,Translation
65,A94-1006.txt,Translation
66,A94-1007.txt,Translation
67,A94-1008.txt,NE
68,A94-1009.txt,NE
69,A94-1015.txt,Translation
70,A94-1016.txt,Translation
71,A94-1017.txt,Speech
72,A94-1019.txt,IE
73,A94-1044.txt,Translation
74,A94-1047.txt,Lexical
75,A97-1001.txt,Speech
76,A97-1003.txt,Speech
77,A97-2012.txt,Speech
78,A97-2020.txt,Speech
79,C00-1002.txt,Lexical
80,C00-1005.txt,Grammar
81,C00-1006.txt,Translation
82,C00-1008.txt,Lexical
83,C00-1009.txt,Grammar
84,C00-1011.txt,Grammar
85,C00-1018.txt,Grammar
86,C00-1019.txt,Translation
87,C00-1025.txt,IE
88,C00-1028.txt,Lexical
89,C00-1030.txt,IE
90,C00-1034.txt,Grammar
